,nonuniformity,center_field_gauss,n_rods,cyl_height,stage2_cyl_diameter,stage2_D,stage1_cyl_diameter,stage1_D,objective
0,1.6933814173583363e-07,1737.0919730859694,14.0,640.0,10.706843953874124,70.95782365305205,19.99628180803356,68.3930830390863,0.0002924625453292524
1,1.6978841601216936e-07,6025.015878845408,14.0,640.0,20.0,71.1706603070048,20.0,68.39383070583784,0.0010212800183572086
2,1.6979793856377307e-07,6024.679797777882,14.0,640.0,20.0,71.17264515305828,20.0,68.39413348041933,0.0010212802307838558
3,1.6981460442095452e-07,6024.090350729771,14.0,640.0,20.0,71.17612674290261,20.0,68.39677711597085,0.0010212803738610557
4,1.6981679437535154e-07,6024.009994267527,14.0,640.0,20.0,71.17660141075736,20.0,68.39231936624532,0.0010212798985678377
5,1.6983489283072745e-07,6023.368047545253,14.0,640.0,20.0,71.18039374888856,20.0,68.39696628310398,0.0010212797179065688
6,1.6983906127612191e-07,6023.220350232209,14.0,640.0,20.0,71.18126636525307,20.0,68.39637584665769,0.0010212796995299114
7,1.698418261623636e-07,6023.124562465595,14.0,640.0,20.0,71.18183230992213,20.0,68.39333444147346,0.00102128005663092
8,1.6984675049608294e-07,6022.949887601137,14.0,640.0,20.0,71.1828643794643,20.0,68.40234897320501,0.0010212799993048402
9,1.6985178069039705e-07,6022.772493337585,14.0,640.0,20.0,71.18391256257004,20.0,68.4017546136173,0.0010212801148796274
10,1.6985375447805217e-07,6022.700482835749,14.0,640.0,20.0,71.1843380697599,20.0,68.39503708498113,0.0010212797515616492
11,1.6986455515463573e-07,6022.320334779646,14.0,640.0,20.0,71.18658447598244,20.0,68.39479361992554,0.0010212801191145152
12,1.698675990863222e-07,6022.210727306819,14.0,640.0,20.0,71.1872322181413,20.0,68.39381020441142,0.0010212798014486402
13,1.698684702183106e-07,6022.18127005832,14.0,640.0,20.0,71.18740630328347,20.0,68.39227268925802,0.0010212800350199865
14,1.6987003604225855e-07,6022.126015674228,14.0,640.0,20.0,71.1877328466347,20.0,68.39599565813512,0.0010212800629731814
15,1.6987057004913482e-07,6022.10648807618,14.0,640.0,20.0,71.18784825225798,20.0,68.39590756242185,0.0010212799563256026
16,1.6987227254305144e-07,6022.046921704149,14.0,640.0,20.0,71.18820028541897,20.0,68.39544206158772,0.0010212800732253406
17,1.6987415498573727e-07,6021.97847354879,14.0,640.0,20.0,71.18860481575233,20.0,68.39342433557206,0.0010212797629865435
18,1.6987763597068833e-07,6021.856511357814,14.0,640.0,20.0,71.18932563249084,20.0,68.394517909094,0.001021279971944455
19,1.6988593066741164e-07,6021.564428599748,14.0,640.0,20.0,71.19105197894667,20.0,68.3957754153396,0.0010212802177197748
20,1.6990218735124524e-07,6020.989963806389,14.0,640.0,20.0,71.19444770244424,20.0,68.39261482089833,0.0010212803429970878
21,1.6991798407370266e-07,6020.432852521255,14.0,640.0,20.0,71.19774131160855,20.0,68.39255900663693,0.0010212806337107658
22,3.5465817786808757e-07,9.99999999999583,14.0,640.0,1.0,87.3443614624971,5.712900609479208,68.37334074771509,1.4792387788174282e-18
23,3.546653151297203e-07,9.999999999993967,14.0,640.0,1.0,87.34436146321676,19.99110833852849,68.39965363056562,2.139521289344746e-18
24,3.546764955432106e-07,9.999999999974822,14.0,640.0,1.0,87.34436146420794,6.188197932360149,68.40058758296809,8.930073832099813e-18
