,nonuniformity,center_field_gauss,n_rods,cyl_height,cyl_diameter,D,g_cyl_diameter,g_D
0,1.62697228385314e-07,6523.842993727022,14.0,640.0,20.0,68.39590756242185,7.036978355110895,210.31493620462103
1,1.6269728292172313e-07,6524.3339347088095,14.0,640.0,20.0,68.39333444147346,7.643941020220893,66.58805395215133
2,1.6269728427704737e-07,6524.239245179831,14.0,640.0,20.0,68.39383070583784,19.813016175058145,157.06767185754282
3,1.6269728513801319e-07,6524.055522611053,14.0,640.0,20.0,68.39479361992554,12.085183266870182,247.76835954853402
4,1.6269729216595392e-07,6524.316782347519,14.0,640.0,20.0,68.39342433557206,16.492241997566346,281.9306308901141
5,1.6269729402572765e-07,6524.536528849508,14.0,640.0,20.0,68.39227268925802,19.174644217626675,237.93845395842803
6,1.6269729440035007e-07,6523.641010227904,14.0,640.0,20.0,68.39696628310398,11.696292039576793,162.7365088124966
7,1.6269729488088165e-07,6524.243156905821,14.0,640.0,20.0,68.39381020441142,7.832829137653749,238.03216108300802
8,1.6269730153126777e-07,6523.826186405937,14.0,640.0,20.0,68.39599565813512,12.652676403966616,263.4558209420278
9,1.6269731412691912e-07,6524.471245294331,14.0,640.0,20.0,68.39261482089833,10.312202301345492,247.54651780019705
10,1.6269731686019846e-07,6524.527622162719,14.0,640.0,20.0,68.39231936624532,17.804435919422335,298.0611722420099
11,1.6269732672117283e-07,6523.931805283374,14.0,640.0,20.0,68.39544206158772,3.600828942304149,138.50234724184526
12,1.626973351542481e-07,6523.677098983007,14.0,640.0,20.0,68.39677711597085,12.747924849099766,186.29287094062548
13,1.6269733519377609e-07,6523.753652965108,14.0,640.0,20.0,68.39637584665769,18.101394914173643,238.00677003206764
14,1.6269733547542232e-07,6524.181475406376,14.0,640.0,20.0,68.39413348041933,18.45659294247781,148.52354367147856
15,1.6269734294999368e-07,6524.481895378148,14.0,640.0,20.0,68.39255900663693,15.395252598138011,156.8273490049027
16,1.6269735120082439e-07,6524.108127033524,14.0,640.0,20.0,68.394517909094,19.29085902053344,157.07978656853243
17,1.6269735302301518e-07,6522.727606182063,14.0,640.0,20.0,68.4017546136173,13.411773839459629,252.18018645569344
18,1.626973702991414e-07,6523.868205503064,14.0,640.0,20.0,68.3957754153396,10.795532855146991,212.24683745822088
19,1.6269738578821994e-07,6524.009071072264,14.0,640.0,20.0,68.39503708498113,19.23797676792585,70.36370922290719
20,1.6269741579345098e-07,6522.61424174917,14.0,640.0,20.0,68.40234897320501,18.972606232906944,92.11468351993958
21,1.626975454282995e-07,6521.956239012875,14.0,640.0,19.99628180803356,68.3930830390863,7.0240311033777045,212.04497182796092
22,1.6269784878577515e-07,6517.329501995123,14.0,640.0,19.99110833852849,68.39965363056562,13.08944897812718,243.28908757199792
23,1.6327007115590123e-07,624.4712083220462,14.0,640.0,6.188197932360149,68.40058758296809,5.265021846667755,80.58373921109214
24,1.632786255131344e-07,532.651875594972,14.0,640.0,5.712900609479208,68.37334074771509,3.694195674097619,149.67514862201315
