,nonuniformity,center_field_gauss,r_1_innerrad,r_1_width,r_1_thickness,r_1_dist,r_2_innerrad,r_2_width,r_2_thickness,r_2_dist,g_1_innerrad,g_1_width,g_1_thickness,g_1_dist,g_2_innerrad,g_2_width,g_2_thickness,g_2_dist
0,1.4644201726184962e-09,38.07832009615986,81.61684322906385,3.730541037205189,15.831920644749813,89.48153432337372,22.47536399820169,13.707168354575053,2.255123274147108,88.43073108344814,77.2072172585857,2.9233942498735352,18.799864618335402,170.24908161172186,20.57662996945256,15.979296256738085,2.797453886846873,84.81422907131126
1,3.2260471019636663e-09,49.93951120023381,147.8856211860118,11.18710935862339,15.773542181731038,40.07758399573492,102.63298532950101,17.403342984775257,4.1228322761083795,103.53986010531102,99.43018659663561,11.623910626490488,18.004022445510042,39.69251543877949,82.04578272383065,11.649579908001733,2.7276172400027257,120.70279337314525
2,3.2580078916785624e-09,9.113465442624609,146.80380259050236,2.0852744208521097,14.092498256983509,157.2025812529277,16.487324691315123,14.007485510202951,20.0,281.0629796482275,80.94547620800837,3.695846439981247,11.64703840822787,173.95632638183756,19.27195643231843,17.66211634542289,19.800954121347594,298.46020270241377
3,3.702624947376083e-09,53.95745371620517,150.0,10.9597884421704,7.845159654368169,109.3816007412961,76.0624835209855,19.486038745627503,17.669818468185056,187.7591623725226,137.67815169604836,10.985918562605763,8.47402481026704,97.98811778252353,101.83830618888344,19.30240941816901,16.921368634050477,196.17784421511814
4,4.77574909379031e-09,19.468222389983048,14.928696321480809,2.167123849444857,19.99939962805318,167.44272730193842,137.3477004649225,13.440292292463777,11.874799203342498,199.9223698521759,15.9817453132755,2.1417534228478825,17.110553454478005,221.93201086122266,89.85887360284913,17.507935946373493,16.459414988803125,147.7866088887818
5,5.273513791018757e-09,17.045484985708235,124.3874590483573,5.878744275528783,10.260060413630743,139.11832182074227,35.093811183671164,20.0,2.054181498754524,149.66788843943704,83.86062924206945,5.93057038248038,8.724468846577334,77.88350344726503,41.64766323988712,15.768665736918742,4.199683196798524,196.37271612116027
6,1.142120356763845e-08,11.633914383777784,118.2345272840867,10.570511739030737,5.07903601504184,155.29639257856837,11.41151177636018,8.530966009523029,6.550663128898752,168.48846118900116,126.94281215330273,9.50402557296463,6.074754655499402,166.66172105420083,15.729854794694516,9.338457549957392,5.538018524481606,114.9223047643834
7,2.026893397119704e-08,5.830885291587187,150.0,2.000160065122765,19.99941848689542,145.16919922996445,150.0,12.283790842495456,2.197122672712241,39.88262003991089,129.30993628802239,2.2807868217079657,7.967833651997738,264.6045338919767,64.77107399713462,13.777766773685954,12.9287106536143,19.218726865908543
8,2.628207605330033e-08,25.306298759432877,92.37407232223525,4.708491563536252,2.539501753086097,87.63036204980783,58.45384344604809,14.859516739950575,16.9047247017892,230.90808030854424,51.87761318410602,15.521128044674878,4.825397739998745,53.58805196165935,32.913904309117015,8.925126273525693,3.363263861675941,274.0954402761265
9,3.123627485239501e-08,67.21041775378973,147.35243491029877,13.47075129440592,19.820787015892897,117.91376532719441,48.51359680117625,13.451055430138151,14.49514875595434,133.40302256974832,135.9590436288199,12.918562704032322,15.526089337876543,98.30899912044173,121.4734195534005,12.868508347105827,13.480202365581263,126.1673235615823
10,3.835638020047765e-08,2.3313553624223715,114.17144065025579,2.3381000046379983,13.020210969129616,183.5654757995596,149.99998126439806,3.477894428875375,2.004629303786838,50.15275844278084,21.96559522313297,8.543927867273485,11.376205752191641,37.185238215050056,127.84852525419288,17.070504390086725,8.363911554374127,59.122433088424266
11,4.7061285765444234e-08,3.686476565494007,143.99266142326496,2.0000261755977577,16.877843862991813,210.70482196945102,1.0000004756461414,2.0119214320444985,17.637312074210797,159.33339535612407,52.0277005847952,18.572587946094824,18.55907195344015,59.68650913511442,68.63811272802543,2.9321394926151094,6.252586469908884,176.0305463304841
12,5.468344469662428e-08,141.8114931916756,49.7561299128278,2.0,19.37285000738014,45.33522623186286,15.550589187590498,19.6521963309863,4.423571881708509,61.68354845179627,86.05255180495321,2.749016642569827,17.294085768712353,71.05655603952172,2.337524807663885,16.86070515051369,9.063076998096031,13.981132567953665
13,5.7242979500076495e-08,1.4756002518771094,148.36646489437345,3.1153152262919974,2.598367764732326,45.37812483677988,100.94436039627007,2.6096870038815165,2.0044622017799254,130.04874259222788,35.28862481228214,10.359847630585266,15.81128729190076,25.227379509791866,57.591826826498036,16.940434164743337,18.212387989093145,110.437201946059
14,7.803275875309731e-08,63.409738956075415,6.912882934584567,2.050976073148897,13.28327471046556,94.53318715506323,84.83440946629284,14.2838754961904,16.861542907033417,135.16511301658633,80.56875222061885,12.769084778942316,6.769062797955006,243.67400572147963,40.87262769326314,18.358192922832185,8.213716372003486,34.92897820182901
15,9.59026221589981e-08,150.50858691386713,149.7745584442315,19.788740421811696,18.728483370758166,10.801955685838138,84.21084881283079,19.988983666860726,5.768906315820767,69.27139786916456,139.81610480264948,19.854927626042457,19.438531880948467,11.157927725624225,107.20648524393464,17.51255007626243,5.458654239687833,86.83313132386155
16,9.775706307773054e-08,35.565479697779836,120.09849714934873,12.373983696757183,10.875504468287819,117.97100772190984,33.77050644167414,8.102462969057171,4.740441113679477,99.3669836401236,109.9239672158368,13.007256698393205,8.462416601746039,117.9469328444336,48.03032478361646,7.607057950826276,5.383402121644897,80.44581080936764
17,1.134156058906876e-07,101.63154991683676,81.75381251284935,9.30108366286588,9.294914791268798,67.2834155621012,104.89537009209222,19.901002805515148,7.979545993979279,22.978317776624614,75.71852546539128,9.699522817155492,9.28834500473777,62.69864631238419,95.77171519209077,15.462333041356416,8.002161328532008,42.181508686148625
18,2.1535705879059656e-07,39.92610434122284,36.109276871558485,2.000102976675759,2.0069067420266884,71.85779784609267,149.24454591767102,18.772515610435335,10.61159384639878,59.919244918088935,119.4417164785795,6.162456798207158,7.718534818815206,206.37548497126716,25.484183700006188,10.954604151367349,5.920699654313954,15.559856665219518
19,3.021141578904067e-07,85.56129948863806,68.56828602247447,2.0000681888952876,2.0000278670471774,25.849469360679187,67.33795101563553,14.906746001987088,19.644518332386628,128.07290029167274,129.97351909605712,6.114179586693961,7.358971380854738,56.906355327925226,21.738352269759982,11.465887238497253,19.43453212744867,45.84100630162626
20,3.3527148591047645e-07,147.0264779665183,68.44153486218934,6.826420678390386,8.803768162952416,56.32011715148976,113.94519211923345,12.33024092440084,19.18062094328982,20.551459909544022,96.54201416509402,9.209638572491299,7.227485222957297,85.30617343485838,91.89586380425142,8.651929792946795,14.596857477931621,20.411694556001912
21,4.969139575180922e-07,6.261898723026911,66.57727549667814,3.694962357053498,12.524093051423359,241.4366109950285,149.8854650286831,13.517835905657135,2.0000014693048143,175.70272040354155,111.0413762877924,2.8622047818819074,14.63740814728304,186.82095659249575,149.94385268274496,14.810711935904237,5.580245456939086,118.25993837941573
22,5.610799780283277e-07,12.454896944050521,36.057474902460356,3.799749451952346,10.6644580107283,188.5546153458721,136.78151709709337,4.997305616089282,14.159471840101002,176.34580883493373,42.279407336649115,3.5085326573346487,10.956286745654428,228.26796154069694,123.83545324230693,4.8752526524685145,10.798260962541613,184.69358678027695
23,6.037599479468458e-07,87.21183234149878,11.082726198833978,5.462926788436105,2.0716819783815605,59.574647229904855,54.34029590024889,13.95665373367041,9.279549834905175,83.8005167687532,9.190508794412416,16.538250547769294,7.392754971975357,28.58005717146843,50.98401615247878,9.40508796420559,17.13613684103768,74.6762340804236
24,7.751004190724619e-07,21.092397322951904,149.61640931149475,19.701935121713486,14.489012479705156,261.38849106422754,16.640949455950825,7.3323305956559555,2.007281197780965,218.23177283309388,117.44778101466599,18.672775067262915,14.085492932139996,262.1193319104542,21.13595388478119,3.5607727929481596,7.646358144027342,168.7531237523964
25,7.973823959956777e-07,27.64360422199254,150.0,20.0,20.0,270.09193884301806,8.191004612777501,2.0164482632189076,9.983817058331251,300.0,13.170408307110119,3.7977594661339076,8.705741425443415,166.07239153976786,5.060872750314887,10.715054143141789,2.3012658855737675,267.2288673839306
26,7.990390868056455e-07,14.619518758583215,149.9999900307854,19.994771730214147,10.533521422882181,269.4992805906304,28.166352077677523,2.203920320248897,2.0,299.41313771719905,84.84570921134828,16.483350026200952,8.824742222408128,114.33493164626205,36.81024232091891,15.809425263843265,8.81929871542815,287.47142358959803
27,8.080100578557369e-07,3.0532696477665366,149.99997538126246,19.587388863097765,2.1712783391600574,266.21425833997813,22.086346202137303,2.0011074490900573,2.0,300.0,135.4809718713305,8.247519061856316,6.207337318944441,295.8193626413591,23.333125436494388,16.011352899234016,10.851006157839283,270.60361761794513
28,8.180630650547587e-07,27.041070567464462,106.58336264229777,2.0000770665153476,2.0183703378768607,244.16854278913374,149.94659857125598,19.268530780754972,20.0,269.1139766440773,109.65122587594085,12.964528761056126,5.04742535221192,294.2500325498697,70.55054734816964,19.52244865863118,17.01184945425904,141.96264419592788
29,8.352956196247638e-07,6.389991458240374,149.85289418355904,20.0,2.0966929429025205,246.8999646992695,149.8845702396141,3.026297081709686,16.884140166029603,294.193196875288,125.20296169965786,16.12260712119268,17.569419389045528,113.39949881792916,138.06659430423343,10.86497815154474,13.69149958043268,178.95827555826205
30,8.500199713040048e-07,9.49963578989594,149.99999993247778,18.7507936505312,4.497692573556458,265.48513771847337,149.74800052870856,8.65430704765673,5.753689607208702,267.6197293582569,119.40461214998723,14.51144568432953,5.889347097843993,222.25156672168703,142.29144470096787,8.63929819135764,7.182448238655098,290.0544304380872
31,8.569400444362439e-07,4.509221512163142,48.31646721526731,11.371094418421961,2.2989528871764793,241.37915390989846,149.98730025374527,2.4048994980870875,11.393685880085721,195.24352112003564,49.3343377829893,13.723547964487224,4.340232761332037,131.1536549340596,122.96750446939315,13.593717014663582,8.226978629125036,176.47991550526297
32,8.654745239138527e-07,26.85871044062006,149.99963752112996,16.161660878987874,19.978252425084065,251.75320506200592,44.12214901997979,20.0,2.0,254.674039117491,146.20880334001063,7.29282853677845,15.412513650359944,235.9076338466608,82.419227578976,15.590813171281871,11.734536416750196,153.48980446546864
33,8.74111148416607e-07,22.905653803592614,65.6662295341905,11.51037219560417,2.0000047875321965,290.0378338980289,149.99999993804062,14.84859128051119,19.98374871888253,259.808606883524,52.64184195483355,7.680150492615514,8.670197859000867,244.4593326344225,82.26674145898153,19.3820931284385,19.09531457328519,104.12150420612119
34,9.738367877408434e-07,13.793218862130963,149.99996446605854,12.139594314179124,13.939241029461733,254.27402938458027,81.73319142322082,4.640042421132943,2.000001443786144,223.28466908635815,106.30625110693404,18.121244223297104,17.81082616019525,131.7057987416531,102.93294182882599,6.930484648960729,2.5311285317492676,146.95309514183805
35,1.0736270675762543e-06,3.573080975227257,150.0,2.3806750367600884,15.0500064514301,238.3639696013322,78.45995112317277,2.615110652900011,3.700580023745129,284.2229931526251,126.19003539067586,2.3107505900532956,15.132287920532377,265.51691698224175,87.39021881134316,2.58472070293259,3.7195215274437894,288.4658649907454
36,1.089991208088082e-06,31.2034430301333,136.82547403143573,19.999999852804457,19.405351396744027,253.70409199242215,133.02692391587576,2.0015270467581434,2.0,151.67984793746345,49.63508014481583,7.039549077788514,4.007873857797116,132.66308750711622,42.87653335946215,6.370617549677733,18.756953906366277,70.33526469523451
37,1.272067243169883e-06,2.963497132085773,138.93105276995598,2.0684212273196385,14.232869910790267,224.8538578564244,1.0000010149327971,6.285638825949209,2.1852035740026095,200.13031426334595,61.86983772822093,13.33256265560487,11.863994915387538,93.26428531621623,50.569823132424254,6.5036381638506455,14.948639410977224,265.8327629636661
38,1.629732580120802e-06,7.332433647148509,129.46856215026594,6.256679333056343,9.196676434893964,203.96003103771721,1.0,5.971771986802114,18.9775920368897,219.78587935293126,105.75910798759996,10.923107194337938,14.431463226432086,111.74787168178062,67.23301894221525,3.543371137110219,15.810005684812714,252.36108045253155
39,2.8866838286761064e-06,333.32027546429083,4.560046392824926,18.966458553581578,5.47582810999559,53.97464314955162,39.13548901712936,16.66012483538399,11.194603832619844,53.632270653987106,26.607102099181535,16.846908685989565,4.471343946436848,64.53498770773773,45.84176697090572,12.19022159720356,17.67618313461614,34.95706573392596
40,4.2519117226756365e-06,8.008583472679636,144.65786496038555,15.243114861030822,2.000002031462617,42.39712284804652,149.97724958894435,2.395750198307387,13.126050951101412,134.88950439358453,131.50947992934744,10.871805022929427,13.676005666888997,65.83109788668257,130.23594306366704,16.007789967352018,12.31162867706754,183.55097727357565
41,4.5557788092409844e-06,16.624415514275395,100.50403267441182,2.8108017020262643,14.884345796969688,142.4787994152454,20.17815370894363,19.99629668928221,11.972945932038819,264.91809193653734,74.94396616558578,12.790168199107688,11.122122707791908,142.40254036008193,95.61173635308758,16.950442619652623,5.829198075493016,296.55508414848333
42,5.459834233427198e-06,11.197948111064484,146.57076726020927,20.0,7.782317419681993,217.35484520410319,149.9591133163632,2.3496448457898316,2.023076453233667,1.0,24.23509619002701,16.23158591911332,14.196214038949922,94.75787360019758,142.95403399706723,11.377004242058963,8.530215654442832,5.719372319605339
43,9.378294125340237e-06,92.60093678173872,1.0001518106754634,2.0000177290512413,2.000080184466115,300.0,150.0,20.0,20.0,57.75754796431103,73.31386013239616,13.446550290470492,16.82076612549717,243.3817164772027,132.01338410051957,15.45044888678946,16.416711645472866,80.92510682927507
44,9.37829818969915e-06,92.60090361197243,149.9999995915489,19.99999861413331,19.99999957387376,57.75755101949582,1.0000228738589394,2.000032996909461,2.0045329520688893,299.9236187139903,130.5032090138317,9.376238478676896,19.156199056106658,52.83703554782672,12.639410504025118,15.746453831744159,8.3513344713444,243.03337556488088
45,9.388546615606098e-06,92.52867159291597,150.0,20.0,20.0,57.76437174170625,1.000016020707108,2.0,20.0,300.0,120.5867093729822,14.266478369694715,13.899236014463117,49.14944272706718,11.765606761185479,12.276075035257046,17.797820477445466,277.85865248788843
46,9.403444067935203e-06,92.35554746722488,149.9999989930824,19.999998676676668,19.999999941191096,57.762258347571276,149.9998463269324,2.0000013861947123,2.0000505309638896,300.0,141.12602597534587,18.687500381781728,9.910023020652364,66.82655959884237,140.04713672851418,12.882930064800522,13.066365334342658,239.9330109183416
47,9.620339736560134e-06,9.329197701908413,149.99999999317757,19.999994091403394,2.0,57.39447432358732,1.0,2.0,2.000108829956573,300.0,70.29853191436209,12.052996908064307,8.692522941369207,35.949696424174746,54.809807331191564,3.273244941791682,12.658295699994612,282.6026042359448
48,9.620342507188148e-06,9.329198119425312,149.99999985218022,19.999999996270642,2.0,57.39447815712645,1.0001270207421498,2.000027918578984,2.0,299.98101257567816,130.02122467122612,14.608946763176748,3.903222259255705,66.4694499113645,27.763386439971217,5.725713599817354,2.915085660682604,94.1793571088579
49,0.006001116305581993,169.93806012755334,150.0,20.0,20.0,1.0,1.0,2.0,2.0,300.0,124.78881422064154,13.940404717818245,13.188886650513057,8.589645499142149,98.78414184382822,2.2180831180284653,13.609216217045361,255.16228580358467
