,nonuniformity,center_field_gauss,r_1_innerrad,r_2_innerrad,r__width,r__thickness,r_1_dist,r_2_dist,g_1_innerrad,g_2_innerrad,g__width,g__thickness,g_1_dist,g_2_dist
0,2.366381741466654e-09,113.50895020686721,149.99999999998633,135.31927180237818,19.999610973892494,19.758469196216513,36.71860991261172,118.49920396857698,94.09142614863528,65.81397184476869,11.249000364305424,2.1197250983507505,54.30759282073326,191.37373079510002
1,2.4889785249236402e-09,61.2247557173572,33.37451893214205,147.88553686387775,18.31108702418568,19.890397240907067,218.41083517147015,183.21143441897328,35.85103412808868,123.9685690808563,17.260916477666168,14.435943813582915,266.60975152646625,233.78778381445736
2,3.1078519427393444e-09,12.914926114625207,149.78772211899704,32.885704005411206,4.634416241839759,16.590896229301446,181.663377185712,213.43355109776988,149.7411435396317,31.659097542949734,4.484726811979152,16.068431401330578,198.31913722412054,212.64459501387043
3,3.163409876914482e-09,50.94503725267144,6.350079463590037,143.52649815045794,19.137990367361418,19.999999998147917,204.6231769667743,196.556878891797,116.5559133511915,24.473543354005088,16.87276781847571,13.090248791646047,189.5432235688873,69.45404520821486
4,3.5947549613994026e-09,7.211219194462988,33.51171336633961,138.43860137871138,18.06579115779749,2.021750731382541,202.86520193501082,169.47450116938037,35.99361703246183,82.3151787227564,14.659796260228855,2.9422750226139947,174.4242516548465,141.00711800023007
5,4.077003291475194e-09,4.547018708435173,33.498446530559114,144.3330101867664,2.004407021889482,12.197062557472142,203.6264692300618,172.83128038524904,24.72012743564685,80.90462632439156,17.17233500775654,14.56069463140756,175.33186720798767,272.07092451538756
6,4.211828797253396e-09,24.363910884416313,141.80957898576457,11.968678632635607,8.268567663924808,19.916635138762484,187.07814563951956,197.02225981268853,87.07558117938783,26.21851433581172,16.812194605319334,19.928471072606722,193.5589892215201,289.9665334053752
7,4.2876540004633045e-09,16.5594796418958,138.45516961119762,32.45557096229997,10.565852426941106,7.898396535964206,168.2224097447914,200.10506217354933,85.77038572505913,34.31355382609906,18.001757767989567,9.374584628203255,203.12436005527175,221.40154010463974
8,4.3014666583359695e-09,27.317765527050433,137.59825135293278,42.95047417763566,7.5742127502309895,15.688786499471574,158.95911362045075,191.41561892571812,128.1296545118226,35.38234551466172,5.140803829874348,17.69143890763169,249.88722568445803,284.8619049710708
9,5.452969012622774e-09,38.37645964231328,145.86444578155505,130.41375224665242,7.984991229714831,13.053141580608614,31.266769912490936,102.18365187894032,94.93314061633572,60.13659103037586,9.79657187158676,19.20935730271311,41.78918763207493,57.8267410332739
10,2.9146292021220666e-08,7.126851746261917,139.91937286344267,51.1453715073644,10.72912026448743,2.000878371959537,109.74344641186661,134.18667807829573,122.69165006666492,42.445339036808015,14.49961205103777,7.793407070193979,26.86465507072926,98.09496569372253
11,3.624077006826416e-08,59.37480628787309,149.99999999985198,116.3975725708554,19.999999999991466,6.356786422946529,1.13676978886206,82.47516924679076,134.68976515194706,149.81438142101337,11.52581347942918,3.05463152429128,3.2557664750471575,160.60637536840326
12,3.995143774150277e-08,71.22391777236473,116.43019374223073,145.61270156613205,11.529398678779575,12.535247170368642,81.45068196893749,12.822932473745826,111.89648129255191,136.1162782240043,15.096631946496563,11.391590315346129,96.85879885343621,11.027075927029118
13,4.477762179798341e-08,5.640269968317919,133.68390156043827,49.65213729874961,7.429720646212067,2.0463821208812973,102.31444486195232,126.01226936035485,115.94510962109494,66.37195416135314,3.2567558359346576,14.403118543159566,160.60944328198735,123.4561698252023
14,4.699511083685617e-08,20.08789260638011,149.9999880152505,118.19973275354022,2.2389497603742323,17.480453375411145,1.3478125456418732,79.25057476757105,81.5087020359976,88.59729167994902,2.201682396383538,10.473959762530725,1.5978178487888386,61.71036875507849
15,5.133374347962804e-08,72.3259446612644,27.718467106646948,72.67012313092106,4.093256657950628,17.377255004846013,89.05642368937565,75.70449899759623,26.513853308720496,67.58599810264823,4.898308279190737,14.178335487574818,112.55389232990152,65.8320499971281
16,5.134647311217233e-08,19.719680880839327,12.986125806033222,93.3562304624249,5.176682246089054,10.054378387044846,132.70760779838213,118.58915490069836,98.55444744718582,51.092664479032685,12.149673241679576,4.085630302421494,213.22577817271218,69.83288017843522
17,7.12606402858238e-08,47.52298307023981,101.09000542082663,125.42754644633936,19.994410391838016,3.935003995361127,73.7683546826486,14.865607591319929,120.59128762669575,45.71259655937289,4.096596489584652,10.952084383486879,27.234966768964007,12.09006389081079
18,7.205624841411293e-07,7.317858784849884,146.61562240328055,60.5664292682068,7.577353594981112,4.260901547831169,168.69337566335267,199.11292702992358,142.93833740235084,52.02095382535876,9.245323390678607,4.092553479013243,282.73275979383936,192.62990849840102
19,7.75679190128237e-07,46.83630157330306,149.9999980808598,31.029722735583597,19.78761686585177,19.998847079670192,224.91077294865715,285.1739729547429,75.96722498978349,35.755579491567495,9.731560654940266,17.748247772693,235.654712061239,234.41216970829632
20,7.809607158294979e-07,50.51560504374187,149.99999995542404,149.96169419084077,19.999943556495786,19.061229608290482,255.9258449444469,299.9999988912057,50.30043068766795,49.45477710835332,7.307724171276564,17.92497895649113,182.87948340590685,271.81735512650454
21,7.81179292616112e-07,37.401102124640374,149.99992981411185,149.99896251853966,19.999999998726324,14.105653925966589,299.99999999980315,255.70062513158717,37.84844475419218,140.66551497095983,19.312339029919926,3.6263371757494496,87.96326542444314,188.8610196314642
