,stage2_nonuniformity,stage2_center_field_gauss,stage2_1_innerrad,stage2_1_width,stage2_1_thickness,stage2_1_dist,stage1_nonuniformity,stage1_center_field_gauss,stage1_1_innerrad,stage1_1_width,stage1_1_thickness,stage1_1_dist
0,7.959436209682873e-07,27.37362655244244,150.0,20.0,20.0,271.0235407515676,7.959436318216096e-07,27.373629121720633,150.0,20.0,20.0,271.02352093681554
1,7.973900328898444e-07,9.999999999997318,150.0,19.963117448192904,7.303095239094386,270.5596687421987,8.039470947933933e-07,2.6627830397325702,150.0,19.32851354186654,2.0,269.9795615440698
2,7.980526430429144e-07,10.000000000001927,149.99997329486513,19.988032238682024,7.294967219910537,270.5755603816156,7.97453756804107e-07,5.02934239988555,149.99999705410056,19.968489110817806,3.67123789575501,270.51390523202144
3,8.418788940670938e-07,9.999999999998854,149.9999411808669,19.571383792430815,7.430387351290432,270.21846003791916,8.090894705342308e-07,2.8196254097439333,149.99999732691288,18.82367302919216,2.167776522458939,269.56782059242
4,8.429631105928245e-07,10.000000000000382,150.0,20.0,7.29041436636741,270.5641706052414,7.971666209204382e-07,2.743802448146835,150.0,20.0,2.0,270.52775170149334
5,8.436266975994713e-07,10.000000000000382,150.0,19.99960212493663,7.290535182367323,270.5636666320626,7.971664428572879e-07,2.743800621481327,150.0,19.9999812434899,2.0,270.5277035777568
6,8.440084927359686e-07,10.0000000000004,150.0,20.0,7.2904044264861385,270.56388281592245,7.971647248724014e-07,2.8969036903317402,150.0,20.0,2.111602954926527,270.5282602745925
7,8.620414994025181e-07,10.000000000011173,149.99999715449877,17.640172637887108,8.145607520572637,268.65342080109855,8.201262711670355e-07,19.002293995065056,149.999996995707,17.68062497111243,15.46485177221233,268.92814617940894
8,8.849465477871668e-07,9.999999999995772,150.0,19.999810389855256,7.290127948598436,270.55397043306556,7.97142425506986e-07,4.749799579810774,150.0,19.99997939139936,3.4623703754379966,270.53778005655545
9,9.122363228897814e-07,10.000000000000382,150.0,19.999741205847506,7.289962313400831,270.5484783672942,7.971587255078131e-07,3.489994322678034,150.0,19.99998821034016,2.5439488407892195,270.530787206169
10,9.607349803962005e-07,9.999999999997318,149.99996051182697,19.998778858666373,7.2899732873822645,270.5391529066761,7.971587195868254e-07,3.6514757215721083,149.99997298428485,19.999914968165367,2.6616754174928325,270.5315446333382
11,9.637270764697576e-07,10.00000000000039,149.99999670108838,19.999528727080424,7.289720334546114,270.53933691971804,7.963403059392327e-07,22.568672501659766,149.99999730266373,19.999877414831644,16.47687875645452,270.86253146051047
12,9.673193087283456e-07,10.000000000000355,149.9999856151133,6.922305645824226,19.42801275722811,260.2343759266013,9.67270506507145e-07,3.5063945709891797,149.99999768969272,4.946597566090978,9.392598671256676,258.1852293667657
13,9.752410726830172e-07,10.00000000000039,149.99847710437334,20.0,7.292921017225712,270.63815681499307,7.978371863788618e-07,20.489052974190223,149.93226524331743,20.0,14.941590814005211,270.68760379438186
14,9.782581066615445e-07,10.00000000000039,149.99988463465394,19.98835921600714,7.296786910905224,270.63156578787255,7.976520189234335e-07,2.747991062305739,149.99999508692633,19.95187619373113,2.007285043007014,270.4885988333675
15,9.81252103293466e-07,10.00000000000039,150.0,9.38519277162098,14.545105992661806,262.08198659622286,1.0060100529570996e-06,0.3231928811444629,150.0,2.0,2.098910975785816,255.5949865160594
16,1.0639858611074152e-06,10.00000000000039,149.99953451318643,11.735513798212565,11.798764383093307,263.8573140489934,8.910161027893234e-07,1.634448465395868,149.99997812899875,11.275642909161856,2.0,263.3528301695578
17,1.1360745911115261e-06,10.000000000000426,149.997568990378,6.874508279669936,19.56028721231715,260.23053475791085,9.963048550351288e-07,3.698751627030532,149.99997355893333,2.621159549543253,18.44492042473338,256.56359215836915
18,1.3763164904630695e-06,10.000000000000355,150.0,7.449240098241757,18.10091485785253,260.5100905729588,9.41011516916476e-07,4.588495988306391,150.0,7.05009094298511,8.742477924440927,259.9306254675412
19,1.974020833954803e-06,10.000000000000355,149.9944545872874,6.736355697912847,19.95241485410133,260.2081241463027,9.686927447199514e-07,0.7374186934059557,149.9999731596755,4.862519329798772,2.0072685314832164,258.0038703049572
20,2.9387788750023313e-06,10.000000000000355,149.99999999993267,7.4233514348149034,18.150326030985266,260.36928932314675,9.52241954631971e-07,1.063897725393681,149.99999999999915,6.166751181692643,2.3030529817909486,259.0988054687284
21,3.3360121581424864e-06,10.000000000000355,150.0,6.864326637848119,19.561598627489868,259.94657729858517,9.523557558720817e-07,1.878289832108333,150.0,6.153936901863683,4.074417610273267,259.1028469091166
22,9.611676512071538e-06,-9.33751282725142,150.0,20.0,2.0,57.38551998740985,9.377396759603645e-06,-92.56288744750336,150.0,19.99998014185824,19.98990299345259,57.75641043794608
23,9.61167748784753e-06,-9.337512895106794,150.0,20.0,2.0,57.38551965965375,9.379690167391005e-06,-92.6213257797832,149.9892413773332,19.999999857956787,19.999984919766813,57.7529048183846
24,9.611677936703091e-06,-9.337512928358453,150.0,20.0,2.0,57.385519499043234,9.37716291227102e-06,-92.60878493528693,150.0,19.99999812084937,19.99996907903513,57.756797030785215
25,9.62841135693041e-06,-10.0,150.0,20.0,2.142157707422754,57.390986394955306,9.584332499247043e-06,-31.478774346531466,150.0,20.0,6.748473212804799,57.42579406522614
26,9.682527472059259e-06,-10.0,149.9999999796069,19.999999313597726,2.142315007589213,57.39429620331667,9.59847838428125e-06,-21.700471411974718,149.99999907646475,19.999999751842616,4.64987882112629,57.403504897924336
