,nonuniformity,center_field_gauss,n_rods,cyl_height,cyl_diameter,D,g_cyl_diameter,g_D
0,2.6923634034238454e-07,4275.396647370372,12.0,640.0,20.0,78.21912981528872,17.69633360191237,150.53508828270853
1,2.6923636461007854e-07,4275.259697970092,12.0,640.0,20.0,78.22038240048114,15.408166667739284,65.47188392845354
2,2.692363693350391e-07,4275.042386894845,12.0,640.0,20.0,78.22237012402367,13.47822702166294,199.12940330002795
3,2.69236369637409e-07,4275.0025006904425,12.0,640.0,20.0,78.22273497576379,6.465221208559061,51.946101994306
4,2.6923636968525305e-07,4275.065336598325,12.0,640.0,20.0,78.2221601981334,18.005117501361504,201.39691492153054
5,2.692363745699121e-07,4274.819032670251,12.0,640.0,20.0,78.22441328157892,10.947784808391326,204.6183465331893
6,2.692363750767769e-07,4275.136739819992,12.0,640.0,20.0,78.22150706826504,18.253062432363226,205.43569650407596
7,2.6923637615112664e-07,4274.8651972712305,12.0,640.0,20.0,78.22399097264457,7.6214510984492785,257.71607185001653
8,2.692363767532988e-07,4275.003796841355,12.0,640.0,20.0,78.22272311938143,3.169771749838718,99.6083753389627
9,2.692363778725141e-07,4275.405574505725,12.0,640.0,20.0,78.21904816680501,19.91476826355509,139.72849870687782
10,2.6923638038691146e-07,4274.734260495499,12.0,640.0,20.0,78.22518878636527,19.51562748443716,294.34108011144133
11,2.6923638203177946e-07,4275.418138312737,12.0,640.0,20.0,78.2189332573816,8.983278038900172,201.30606366331338
12,2.692363826990671e-07,4275.349340209069,12.0,640.0,20.0,78.21956249566975,12.425875302872695,37.545487933561105
13,2.6923639348984983e-07,4275.175049642105,12.0,640.0,20.0,78.22115665259899,12.102016856605253,279.3064291672997
14,2.6923639922154714e-07,4275.538189264109,12.0,640.0,20.0,78.21783528884554,9.343801691231201,55.857105319075984
15,2.69236399953413e-07,4274.687976462936,12.0,640.0,20.0,78.22561220730708,12.701527670553098,225.37007564652626
16,2.6923640068662826e-07,4275.109598710287,12.0,640.0,20.0,78.22175532781992,10.228324969145607,32.34785805316952
17,2.6923640690091995e-07,4275.041825543492,12.0,640.0,20.0,78.22237525885117,13.976332010335822,273.4479356206192
18,2.692364402654825e-07,4274.309447472675,12.0,640.0,19.999726670008407,78.22800642227341,6.77182268386137,71.51189275262543
19,2.701779154685889e-07,268.72875917760985,12.0,640.0,5.012212296196461,78.18862263780895,3.0946123897137596,245.87521337319166
20,2.7019888534261324e-07,10.698852673889036,12.0,640.0,1.0,78.1812444379346,15.408292785592021,25.46539554634247
21,2.702085110060605e-07,134.07000809795446,12.0,640.0,3.540442704580842,78.19210895193876,2.4381747965937817,165.18613851179603
22,2.7021416389804995e-07,105.47904610982968,12.0,640.0,3.1404027803274537,78.19399973596188,1.9320202754271474,253.86286445764767
23,2.702196687790872e-07,27.756144620022354,12.0,640.0,1.6111164864494953,78.2021215157453,1.0852475234411885,252.448297450351
24,2.702211602456835e-07,38.690074624490556,12.0,640.0,1.9021687851659084,78.20246287585286,1.8963472835560387,77.950304210708
