,nonuniformity,center_field_gauss,n_rods,cyl_height,stage2_cyl_diameter,stage2_D,stage1_cyl_diameter,stage1_D,objective
0,6.767981849500208e-06,9.9999999999999,6.0,640.0,3.2377281891166136,184.9341605804039,3.520951167858979,173.81663000809104,6.732516474486012e-19
1,7.29050384560737e-06,347.86487135500784,6.0,640.0,20.0,193.64637829691563,20.0,173.90208591183728,0.002463205143909324
2,7.290579324685595e-06,347.861367358575,6.0,640.0,20.0,193.6473486871189,20.0,173.90659782889836,0.0024632050994744317
3,7.290579482244333e-06,347.8613602950767,6.0,640.0,20.0,193.64735064328616,20.0,173.89902727048485,0.002463205101210446
4,7.290582101801496e-06,347.8612389515008,6.0,640.0,20.0,193.6473842482107,20.0,173.89665999534446,0.00246320510159229
5,7.290587141977254e-06,347.8610023827259,6.0,640.0,20.0,193.64744976367498,20.0,173.8983883851045,0.002463205079747048
6,7.290594080330111e-06,347.8606813107586,6.0,640.0,20.0,193.6475386816115,20.0,173.89916820808932,0.0024632050831405144
7,7.290605331034914e-06,347.86016312330935,6.0,640.0,20.0,193.64768218913713,20.0,173.89741499266336,0.0024632051064111247
8,7.290646530219952e-06,347.85825272184286,6.0,640.0,20.0,193.6482112609863,20.0,173.90250960128793,0.0024632050979126793
9,7.290671479058764e-06,347.8570962095482,6.0,640.0,20.0,193.64853155079305,20.0,173.90262991768168,0.002463205095332566
10,7.2906736418072985e-06,347.8569972122414,6.0,640.0,20.0,193.64855896763703,20.0,173.90321021285078,0.0024632051042754507
11,7.2906767823886545e-06,347.85685094903636,6.0,640.0,20.0,193.6485994745666,20.0,173.90058969836423,0.0024632050989850836
12,7.29071328003472e-06,347.8551577041938,6.0,640.0,20.0,193.64906841288754,20.0,173.90582614436843,0.0024632050850021906
13,7.2907205763591195e-06,347.8548231229014,6.0,640.0,20.0,193.64916107443662,20.0,173.89886177608005,0.002463205110764308
14,7.290750078549259e-06,347.85345371974574,6.0,640.0,20.0,193.64954032894482,20.0,173.90295930039923,0.0024632050942453745
15,7.290817580403002e-06,347.8503333122094,6.0,640.0,20.0,193.6504045302873,20.0,173.8989026984487,0.00246320514965767
16,7.29082541344854e-06,347.84996784453745,6.0,640.0,20.0,193.65050574782828,20.0,173.89797576644415,0.0024632051314937256
17,7.29083190977261e-06,347.849666502276,6.0,640.0,20.0,193.65058920573796,20.0,173.90479508756675,0.0024632051292408285
18,7.290882813965832e-06,347.84730937028286,6.0,640.0,20.0,193.65124202632546,20.0,173.90156864053094,0.002463205141632393
19,7.290931553044364e-06,347.84504799689216,6.0,640.0,20.0,193.65186833222006,20.0,173.8992641762831,0.0024632051204803284
20,7.2909677744630606e-06,347.84337033066697,6.0,640.0,20.0,193.6523329795557,20.0,173.9015950525059,0.0024632051258968828
21,8.004669811116541e-06,10.000000000000409,6.0,640.0,2.656530388518569,151.82844656091598,1.0,173.75811771533662,3.270404492207043e-18
22,8.031971351545395e-06,10.00000000000015,6.0,640.0,2.6535499352929257,151.6584565605512,1.0,173.67142864312555,1.198482368511501e-18
23,8.07432948081031e-06,9.999999999997858,6.0,640.0,2.648995806261123,151.39870844743137,1.0,173.82998722933775,1.729752581855101e-17
24,8.265616910686207e-06,10.000000000000885,6.0,640.0,2.6293848684685486,150.28013493884424,2.341258289118459,173.8264870307067,7.311977195317587e-18
