,nonuniformity,center_field_gauss,n_rods,cyl_height,stage2_cyl_diameter,stage2_D,stage1_cyl_diameter,stage1_D,objective
0,9.731948933487375e-08,9069.250066529385,16.0,640.0,20.0,62.01482160922221,20.0,60.362442845255416,0.0008816415902315607
1,9.732036454600642e-08,9069.163606601162,16.0,640.0,20.0,62.01511719539383,20.0,60.36057445247363,0.0008816411046763394
2,9.732072802759331e-08,9069.131417969855,16.0,640.0,20.0,62.01522724184036,20.0,60.35552176704064,0.0008816412648944699
3,9.732085280432966e-08,9069.11597895962,16.0,640.0,20.0,62.01528002491022,20.0,60.35536026565097,0.00088164089272568
4,9.73218269540932e-08,9069.027287973857,16.0,640.0,20.0,62.01558324532735,20.0,60.360468025378175,0.0008816410860925999
5,9.732202698164065e-08,9069.008737193682,16.0,640.0,20.0,62.015646668065436,20.0,60.360563130884685,0.000881641092748082
6,9.732243728412599e-08,9068.971471125846,16.0,640.0,20.0,62.01577407656025,20.0,60.35725841097743,0.0008816411828573317
7,9.732298837607415e-08,9068.920498113108,16.0,640.0,20.0,62.01594834882897,20.0,60.36175952991823,0.0008816412143376418
8,9.732484676929284e-08,9068.744594933092,16.0,640.0,20.0,62.01654975768343,20.0,60.36279244416723,0.0008816409296240229
9,9.732697295827836e-08,9068.547485673223,16.0,640.0,20.0,62.01722369041842,20.0,60.3586747694162,0.0008816410061793983
10,9.73282276840623e-08,9068.432988681714,16.0,640.0,20.0,62.01761517511759,20.0,60.35942703243215,0.0008816412283832348
11,9.732880101768972e-08,9068.37779448989,16.0,640.0,20.0,62.01780389609829,20.0,60.36015257257763,0.0008816410499029656
12,9.732892769175144e-08,9068.368248218216,16.0,640.0,20.0,62.017836537060255,20.0,60.36564608283656,0.0008816412682360878
13,9.733065144248685e-08,9068.211530675633,16.0,640.0,20.0,62.01837239876504,20.0,60.35621870962034,0.0008816416291845053
14,9.733154096813199e-08,9068.126040419924,16.0,640.0,20.0,62.01866472003545,20.0,60.35704369475839,0.000881641365797635
15,9.733380798071673e-08,9067.918358045907,16.0,640.0,20.0,62.01937487638681,20.0,60.36005700601967,0.0008816416861670492
16,9.733426469540085e-08,9067.875438810173,16.0,640.0,20.0,62.01952163895868,20.0,60.35733714767284,0.0008816416455391195
17,9.733480707651178e-08,9067.822368928735,16.0,640.0,20.0,62.019703113160425,20.0,60.35993388528769,0.0008816413928129913
18,9.7335317567135e-08,9067.773732291736,16.0,640.0,20.0,62.01986942913729,20.0,60.363077422435694,0.0008816412826838699
19,9.734556647237826e-08,9066.827812357014,16.0,640.0,20.0,62.02310432673436,20.0,60.36669539840594,0.000881642033836684
20,4.5888969566444717e-07,9.999999999992905,16.0,640.0,1.0,93.3732808652926,5.597556858233693,60.291727593286495,3.255716486598818e-18
21,4.5889034347829174e-07,10.000000000015,16.0,640.0,1.0,93.37328086515328,19.999833655829462,60.35822011392847,6.883151933455692e-18
22,4.5889975661553183e-07,10.00000000000146,16.0,640.0,1.0,93.37328086609514,3.312834181916237,60.32114696705151,6.700695108782767e-19
23,4.589076184681696e-07,10.000000000068596,16.0,640.0,1.0,93.37328086654801,8.214133708769355,60.35231791416898,3.147913324633371e-17
24,4.7309154715022686e-07,10.000000000000934,16.0,640.0,1.0079654346910523,94.11679519366939,6.848136589759891,60.34830497226319,4.420395672628873e-19
