,nonuniformity,center_field_gauss,n_rods,cyl_height,cyl_diameter,D,g_cyl_diameter,g_D
0,2.771703338700469e-07,10.099737763191062,12.0,640.0,1.0,80.46629437578822,16.063119068326795,120.5408282490305
1,2.771741426719258e-07,10.099903374215602,12.0,640.0,1.0,80.46563477824293,1.0245371929108475,92.00661379070071
2,2.771809596309432e-07,10.099965439175392,12.0,640.0,1.0,80.46538758998574,8.390108791677413,88.36749236649734
3,2.771877754599465e-07,10.099572148744748,12.0,640.0,1.0,80.46695400529998,6.130741896374092,179.49526245510964
4,2.7719422203062905e-07,10.099687572043122,12.0,640.0,1.0,80.46649428349787,19.561930431917162,81.671773467673
5,2.7719454635340214e-07,10.09955832221592,12.0,640.0,1.0,80.46700907675915,16.81862012694715,60.932385688210104
6,2.7719539436041055e-07,10.099652688412776,12.0,640.0,1.0,80.4666332218165,3.7777497947316196,260.7968190583485
7,2.772037612596956e-07,10.099982596623903,12.0,640.0,1.0,80.46531925902488,16.05739569824476,77.55570133465403
8,2.7720464648461644e-07,10.09925277942086,12.0,640.0,1.0,80.46822607290498,1.624294062590644,25.122469209926965
9,2.772048488522195e-07,10.099165245613118,12.0,640.0,1.0,80.4685747355041,2.9836176989425987,195.60211722484058
10,2.7721005411657007e-07,10.099871015500995,12.0,640.0,1.000003064768648,80.4660102239134,12.763099713325644,152.20726515072718
11,2.772125052703996e-07,10.099731006216201,12.0,640.0,1.0000451065538405,80.46995019449152,3.83886270555148,89.15934116400827
12,2.7721780873272557e-07,10.0990578631529,12.0,640.0,1.0,80.46900246629473,17.401143878534633,33.16041583515635
13,2.772226026546493e-07,10.098597598870413,12.0,640.0,1.0,80.47083588411246,18.872101119046448,85.58743864657816
14,2.7722311473510174e-07,10.098995137445199,12.0,640.0,1.0,80.46925232116882,5.900416059791317,154.10636545150078
15,2.6598079014819253e-05,10.099005269160912,12.0,640.0,3.7524034444064034,300.0,8.31338290420842,197.6754667609656
16,2.659807976525859e-05,10.09783073591689,12.0,640.0,3.752185232454285,300.0,12.11216489777636,191.4546100517731
17,2.6598080161283825e-05,10.098968204690863,12.0,640.0,3.7523965585326593,300.0,5.743587068446435,265.4555600783392
18,2.6598080270634535e-05,10.099167258615505,12.0,640.0,3.752433538794697,300.0,7.920181953008514,263.76578983301624
19,2.6598080315415117e-05,10.0980330746967,12.0,640.0,3.752222825089457,300.0,4.001635340887905,289.556683964518
20,2.6598080484113327e-05,10.096252858794852,12.0,640.0,3.751892064839507,300.0,16.049317162788597,231.53883124349647
21,2.6598081657341142e-05,10.096233561356371,12.0,640.0,3.7518884792530898,300.0,13.58733029794012,275.223864201202
22,2.6598082440405266e-05,10.091017523703583,12.0,640.0,3.750919181925898,300.0,17.501956700862745,231.56662666210534
23,2.6598082774906038e-05,10.092899567677993,12.0,640.0,3.7512689514156685,300.0,9.957200953074386,286.8605175910909
24,2.6598084605026786e-05,10.083144908413534,12.0,640.0,3.749455737722972,300.0,13.779793335555945,201.63905939543588
