,nonuniformity,center_field_gauss,n_rods,cyl_height,cyl_diameter,D,g_cyl_diameter,g_D
0,6.479758931612773e-06,431.7312187741905,6.0,640.0,20.0,173.90156864053094,10.680801793193611,98.98554006943576
1,6.4797589522545075e-06,431.7360961224248,6.0,640.0,20.0,173.90058969836423,13.04802047434435,281.63442281934095
2,6.479758953027248e-06,431.7310871839102,6.0,640.0,20.0,173.9015950525059,17.866918602643064,156.70808583074427
3,6.4797589558962825e-06,431.72593130423354,6.0,640.0,20.0,173.90262991768168,12.164740079262229,238.27502797472684
4,6.479758964247477e-06,431.7151443455662,6.0,640.0,20.0,173.90479508756675,9.255639118635383,155.66521463198234
5,6.479758968193691e-06,431.7431785084858,6.0,640.0,20.0,173.89916820808932,16.28454924181562,83.52827926593845
6,6.4797589718444916e-06,431.74450139413744,6.0,640.0,20.0,173.89890269844867,12.198620108234019,62.01237399115239
7,6.479758979113104e-06,431.75191390969593,6.0,640.0,20.0,173.89741499266336,15.452179496936216,107.86615875155132
8,6.479758979311401e-06,431.7230402122072,6.0,640.0,20.0,173.90321021285078,11.99842116005105,114.08094869354096
9,6.4797589941891665e-06,431.74706394633773,6.0,640.0,20.0,173.8983883851045,7.44057807828602,278.2031702776735
10,6.4797589945143645e-06,431.7265307368915,6.0,640.0,20.0,173.90250960128793,9.39806480942924,253.07257773580355
11,6.47975899787241e-06,431.72864162526133,6.0,640.0,20.0,173.90208591183728,3.5480145710246926,135.68228507961805
12,6.4797590014853186e-06,431.7438807207991,6.0,640.0,20.0,173.89902727048485,6.2270774383111345,223.59704930157397
13,6.479759020650575e-06,431.742700354307,6.0,640.0,20.0,173.8992641762831,10.015628185329053,286.94508276618956
14,6.47975902202439e-06,431.7242902811124,6.0,640.0,20.0,173.90295930039923,6.586346547200327,124.10547752133083
15,6.479759027837242e-06,431.7061633265545,6.0,640.0,20.0,173.90659782889836,7.643332049957983,50.008422375170284
16,6.4797590315264135e-06,431.71000772276784,6.0,640.0,20.0,173.90582614436843,11.725654723498105,190.1763190074291
17,6.4797590410008845e-06,431.74911982397197,6.0,640.0,20.0,173.89797576644415,14.346819217234872,167.38521527846248
18,6.47975904963658e-06,431.74470528793023,6.0,640.0,20.0,173.89886177608003,19.093264822384462,168.0880068517141
19,6.479759054393818e-06,431.75567576741116,6.0,640.0,20.0,173.89665999534446,2.8408826433529186,228.17615036688102
20,6.4967286393729454e-06,13.393609422010082,6.0,640.0,3.520951167858979,173.81663000809104,2.7668764466313442,234.05556879816902
21,6.497020658632107e-06,5.921433125435814,6.0,640.0,2.341258289118459,173.8264870307067,2.0507817316028905,202.37528548511392
22,6.497113371097814e-06,1.0802159962371003,6.0,640.0,1.0,173.82998722933775,16.88806866511844,28.39130218263436
23,6.49713160733234e-06,1.08111283289712,6.0,640.0,1.0,173.75811771533662,2.698998841832511,66.89414687376103
24,6.497184047030508e-06,1.082196077087104,6.0,640.0,1.0,173.67142864312555,1.5995433253851021,56.82523695872199
