,nonuniformity,center_field_gauss,r_1_innerrad,r_1_width,r_1_thickness,r_1_dist,objective
0,7.979775291811513e-07,10.000000000014255,150.0,19.99684069575576,7.292152657669874,270.5827126620199,1.1375380054230424e-17
1,7.983627588720448e-07,9.999999999989608,149.99998249599054,19.900953142692693,7.322988738606625,270.5063930998764,8.296336310212137e-18
2,8.016443186892112e-07,10.000000000005027,149.82290313317478,20.0,7.274975464734402,270.28420126891825,4.029938022203914e-18
3,8.022097382163237e-07,9.999999999974198,150.0,20.0,7.290979816043828,270.5805407710068,2.0698281218031594e-17
4,8.177803009397089e-07,9.999999999991154,149.89173259880943,20.0,7.280847324730133,270.3893456531276,7.234294760891213e-18
5,8.488073998219699e-07,9.999999999994236,150.0,19.99998075991674,7.290365801408666,270.5625709762515,4.8927617733736856e-18
6,8.630952728271275e-07,9.999999999980362,150.0,16.17416091724992,8.803304207593413,267.4697651414245,1.694914118584715e-17
7,8.858649763075057e-07,10.000000000005018,145.92507562291524,20.0,6.92385019329871,263.66286465020266,4.445454774193365e-18
8,9.590014058621605e-07,10.000000000005018,149.9992926549821,20.0,7.289532006552774,270.5392890088352,4.812468595291014e-18
9,9.952846855247067e-07,9.999999999991145,149.99993733526088,19.998945161876186,7.2934958440162205,270.64280344880626,8.813384080036468e-18
10,1.1411814615053703e-06,10.000000000011182,150.0,19.999211825559478,7.294070038558942,270.66203551805455,1.2760880885622872e-17
11,1.2060633588249544e-06,9.999999999994227,149.9998825635084,14.158420345203563,9.928085885691825,265.78410536753495,6.962796412645926e-18
12,1.6384663588796196e-06,10.000000000006555,150.0,13.463542451233202,10.393051097485777,265.18110196631653,1.0739748404848009e-17
13,1.743500873485799e-06,9.999999999994245,149.999503299189,12.363512228087853,11.239576795767999,264.2876622892068,1.0034538231618464e-17
14,1.817148565992386e-06,10.000000000005018,149.89845875942208,20.0,7.277190107092669,270.2769755507377,9.118829600624584e-18
15,1.8935789019349344e-06,9.999999999997318,150.0,10.609105356040855,12.954889351260624,262.87939756544614,5.0791444684281665e-18
16,2.245905202916106e-06,9.999999999995755,149.99509048665803,9.022194847220732,15.081707077646943,261.60576636310213,9.534974472148671e-18
