,nonuniformity,center_field_gauss,n_rods,cyl_height,cyl_diameter,D,g_cyl_diameter,g_D
0,1.551282013901364e-07,3278.265887184356,7.0,640.0,20.0,68.22521049725134,6.584531668708737,255.1483586048193
1,1.5512820891351855e-07,3277.9844977232005,7.0,640.0,20.0,68.22813846104368,6.168912831171517,297.665637331466
2,1.5512821052428389e-07,3278.136703472503,7.0,640.0,20.0,68.22655465584197,14.296006629756807,86.23188085175616
3,1.551282169501224e-07,3277.8572702042334,7.0,640.0,20.0,68.22946243526036,18.557736736678187,169.0133622941936
4,1.5512821790056308e-07,3277.730689041322,7.0,640.0,20.0,68.23077975975625,17.145396339351663,251.86767863350872
5,1.5512821900847487e-07,3278.08991424464,7.0,640.0,20.0,68.22704151810504,4.311047009967769,276.74966654751313
6,1.5512821987997394e-07,3278.0766721664804,7.0,640.0,20.0,68.22717930957887,19.094797544790108,108.71914453058763
7,1.551282231232626e-07,3277.9796833186,7.0,640.0,20.0,68.22818856002581,17.239434673880613,174.1643020393193
8,1.551282235819569e-07,3278.1883508400897,7.0,640.0,20.0,68.22601725462522,5.5337396462068655,289.1271810796102
9,1.551282236962867e-07,3278.0278508916945,7.0,640.0,20.0,68.22768733036247,13.565794760133796,100.72661652092785
10,1.551282245770492e-07,3277.8789212897873,7.0,640.0,20.0,68.22923712102406,17.921017558396255,102.66350224676636
11,1.551282328504232e-07,3277.762138265473,7.0,640.0,20.0,68.23045246196644,16.360107378220704,167.7515479547293
12,1.5512823892538945e-07,3277.9488211626426,7.0,640.0,20.0,68.22850971608145,11.178746882696572,138.7162562307414
13,1.551282410640955e-07,3277.739001883774,7.0,640.0,20.0,68.2306932460383,3.9643658170406875,249.7540697090905
14,1.5512824643600397e-07,3277.871653225435,7.0,640.0,20.0,68.22931275663262,12.56484076574542,290.96487085680667
15,1.551282500778392e-07,3277.672234128503,7.0,640.0,20.0,68.2313881231727,10.765019287956134,58.01150822019423
16,1.5512825427082307e-07,3277.551456655785,7.0,640.0,20.0,68.23264515367872,8.504881657178455,94.01903079873337
17,1.5512825923499605e-07,3277.372024487975,7.0,640.0,20.0,68.23451278012024,19.19319094364318,68.88302391530922
18,1.5512826464421294e-07,3277.445965084371,7.0,640.0,20.0,68.23374314807727,19.26497523833116,142.31867396604787
19,1.5569469365750532e-07,204.8474475493956,7.0,640.0,5.0001635852781705,68.2347934966273,3.060719753287596,201.10577010939343
20,1.556989278047357e-07,176.1624370460278,7.0,640.0,4.635596955166008,68.2159563693306,2.7556941491809095,264.92653477217516
21,1.557018674965506e-07,163.00676855226098,7.0,640.0,4.458986723815991,68.2134978388159,2.643363947770956,255.72375309218955
22,1.5570944276841346e-07,121.51440178951879,7.0,640.0,3.850195068557573,68.21907284307915,3.426327193108807,74.96571242905586
23,1.557165035646995e-07,35.72222483271787,7.0,640.0,2.0880386448998447,68.23484795935371,1.7334921079464718,101.81135692759388
24,1.5571762193835344e-07,59.2548841717991,7.0,640.0,2.6881357550097107,68.20655013396188,2.0318964881128494,99.25051616545366
