,nonuniformity,center_field_gauss,n_rods,cyl_height,cyl_diameter,D,g_cyl_diameter,g_D
0,6.253362559237348e-07,2402.094904217788,10.0,640.0,20.0,95.25652288193453,16.979783665659163,206.85522121996718
1,6.253362757834314e-07,2401.9317833451496,10.0,640.0,20.0,95.2597562506412,11.54335651373578,48.38599094778753
2,6.253362872348846e-07,2401.9590139579436,10.0,640.0,20.0,95.25921646475452,10.590092315449118,183.55933286633817
3,6.253362934663032e-07,2401.874995911173,10.0,640.0,20.0,95.26088196380199,5.610777698405695,166.1670731109604
4,6.253362997415096e-07,2402.0458908510545,10.0,640.0,20.0,95.2574943863226,9.665296891310893,227.06395899662414
5,6.253363256421444e-07,2401.8589592501876,10.0,640.0,20.0,95.26119987023728,13.719520258536647,50.22670449094076
6,6.2533632895384e-07,2401.766726054832,10.0,640.0,20.0,95.26302833795636,13.28576943978044,289.69820695012095
7,6.253363365986724e-07,2401.911570089739,10.0,640.0,20.0,95.26015693907773,18.277263113863054,37.08428365681824
8,6.253363473603101e-07,2401.820502214072,10.0,640.0,20.0,95.26196224509422,5.992593199608001,30.796826401365372
9,6.253363512637188e-07,2401.572815819066,10.0,640.0,20.0,95.26687283526948,14.627044311433247,234.25070049317713
10,6.253363600039595e-07,2401.565513959218,10.0,640.0,20.0,95.26701761227682,16.18188839291358,163.38054159318983
11,6.253363635735029e-07,2401.6728462309984,10.0,640.0,20.0,95.26488955720286,12.221040245313164,106.19990137478503
12,6.253363698447736e-07,2401.8280820495565,10.0,640.0,20.0,95.26181198048242,14.519012541020098,294.08709634064144
13,6.253363740222459e-07,2402.1075781229633,10.0,640.0,19.99977895040491,95.25521922207707,7.750392069337438,238.78823727649052
14,6.253363796233741e-07,2402.0618271964267,10.0,640.0,20.0,95.2571785053706,17.306328754448366,224.2538279766885
15,6.253363845413412e-07,2401.8878164975436,10.0,640.0,20.0,95.26062781425765,7.223089037625391,226.731282583012
16,6.253364098863997e-07,2402.3470826421753,10.0,640.0,20.0,95.25152486941492,8.596440941117688,123.40278525592286
17,6.273707567897889e-07,174.4852441421355,10.0,640.0,5.387524143855798,95.2071755076068,3.553476363938866,211.62040109260315
18,6.273884989987088e-07,156.19436359232986,10.0,640.0,5.0966153504545435,95.19387459386466,3.932310532665303,150.2241525753442
19,6.274202730197371e-07,119.25044784668587,10.0,640.0,4.455794289090261,95.2477797970607,2.837375217035647,276.77628411744524
20,6.274554032305518e-07,80.27940723129775,10.0,640.0,3.6547806762211708,95.21799345971826,2.6933752512878844,121.24816228405524
21,6.274847699809959e-07,38.0511096834031,10.0,640.0,2.515708330065688,95.19988756386796,1.6498009870066088,226.73968379212218
22,6.274911455999379e-07,25.082787856777514,10.0,640.0,2.042152667010532,95.18316470306169,1.5949808552949285,133.01196510865023
23,6.274918338633061e-07,16.758611187846476,10.0,640.0,1.6690975793512706,95.17492964543911,2.102073183027652,72.6770831187862
24,6.274925507205445e-07,24.44110730632664,10.0,640.0,2.0167548422949984,95.2253197404358,1.7605205745152595,96.5928079250539
