,nonuniformity,center_field_gauss,n_rods,cyl_height,stage2_cyl_diameter,stage2_D,stage1_cyl_diameter,stage1_D,objective
0,2.6201229558190055e-08,14206.54275710473,13.0,640.0,20.0,44.66360873622851,20.0,43.90878413499726,0.00037196687571156137
1,2.6201977433235027e-08,14206.179444127765,13.0,640.0,20.0,44.66417984264689,20.0,43.90128645352627,0.0003719679734331907
2,2.6205584809063775e-08,14204.203595927025,13.0,640.0,20.0,44.66728614221908,20.0,43.90410911465497,0.00037196740613018364
3,2.6209564380241565e-08,14202.031045555035,13.0,640.0,20.0,44.67070243231338,20.0,43.90575505796738,0.0003719669513748617
4,2.620961005058787e-08,14202.034908175418,13.0,640.0,20.0,44.670696357730584,20.0,43.90481797251286,0.00037196770076760834
5,2.6210743422645905e-08,14201.408255450548,13.0,640.0,20.0,44.6716819013171,20.0,43.906322665503176,0.00037196736058963325
6,2.6211191986692484e-08,14201.162770171886,13.0,640.0,20.0,44.67206799647901,20.0,43.902134382158096,0.00037196729188337805
7,2.621149606890956e-08,14201.006076388376,13.0,640.0,20.0,44.672314447089995,20.0,43.90483731051026,0.0003719674999851256
8,2.6213251025271094e-08,14200.058190027537,13.0,640.0,20.0,44.67380538562605,20.0,43.90417821575099,0.00037196755739839584
9,2.621358141971807e-08,14199.88597977038,13.0,640.0,20.0,44.67407627263233,20.0,43.9068322501065,0.0003719677314672268
10,2.621399601017537e-08,14199.655021768323,13.0,640.0,20.0,44.67443957766841,20.0,43.90452475416504,0.00037196756012639976
11,2.621505528225619e-08,14199.094790511424,13.0,640.0,20.0,44.675320877910885,20.0,43.9035782947866,0.0003719679043384303
12,2.6216681781511117e-08,14198.217096719512,13.0,640.0,20.0,44.67670168359022,20.0,43.9046430969649,0.000371967972671691
13,2.62167141534338e-08,14198.191396013737,13.0,640.0,20.0,44.67674211839054,20.0,43.90135427676019,0.00037196775818350097
14,2.6217816402849678e-08,14197.572838758548,13.0,640.0,20.0,44.67771532476666,20.0,43.90382458497396,0.0003719671798886284
15,2.671154496366101e-08,35.01621722096757,13.0,640.0,1.0,44.981438774811174,6.482636023098144,43.90121458222792,6.682218111185861e-07
16,2.6725625034905867e-08,34.99480541218777,13.0,640.0,1.0,44.99519752029012,4.352951923704167,43.8911544284238,6.680017972665662e-07
17,2.673235132360219e-08,34.99735689638596,13.0,640.0,1.0,44.993557331902565,12.099069947158547,43.89197171369728,6.682381267156596e-07
18,2.68096916837997e-08,34.92103318063584,13.0,640.0,1.0,45.04269875967142,12.033253775655664,43.903611203877226,6.68125216014589e-07
19,2.6815068829219958e-08,34.901785472316725,13.0,640.0,1.0,45.055116941153436,2.045050133732034,43.91959803727592,6.677430914106425e-07
20,2.691667900320489e-08,34.82081989986087,13.0,640.0,1.0,45.107466782445016,4.845816137362711,43.90639865272415,6.680940418409152e-07
21,2.6932373755575556e-08,34.81408359272633,13.0,640.0,1.0,45.11183049814586,2.685737754523276,43.92305435998716,6.683021737214006e-07
22,2.7030449390246924e-08,34.698478746414,13.0,640.0,1.0,45.186916121957374,2.4145526586333146,43.9240735263866,6.676109797710328e-07
23,2.705217086807588e-08,34.672216685460626,13.0,640.0,1.0,45.204025714902805,10.883648737121256,43.89233464861616,6.674370214692736e-07
24,2.7072362943127226e-08,34.67216053361322,13.0,640.0,1.0,45.204062319362876,15.4626192307699,43.89035207417447,6.679336845570766e-07
