,nonuniformity,center_field_gauss,n_rods,cyl_height,cyl_diameter,D,g_cyl_diameter,g_D
0,2.5732632621343488e-08,14702.677787618188,13.0,640.0,20.0,43.9035782947866,18.245365760600002,39.21747463043024
1,2.573265601345484e-08,14700.498588399678,13.0,640.0,20.0,43.906832250106504,6.794856482036516,44.17365167850613
2,2.5732674763599717e-08,14704.21294240146,13.0,640.0,20.0,43.90128645352627,8.29141572123033,266.5129534367759
3,2.5732676332835726e-08,14699.191628350281,13.0,640.0,20.0,43.90878413499726,13.970398413588887,58.64659156401527
4,2.5732678927016802e-08,14700.839829181632,13.0,640.0,20.0,43.906322665503176,13.179095602683253,296.6493198913041
5,2.5732691103443975e-08,14702.512828214474,13.0,640.0,20.0,43.90382458497396,6.629475550946956,125.5716500480367
6,2.5732695271446652e-08,14702.322260346606,13.0,640.0,20.0,43.90410911465497,9.372652232744638,156.27037591352394
7,2.573269657983561e-08,14704.167508595056,13.0,640.0,20.0,43.90135427676019,13.3205761781099,167.27611853607544
8,2.5732699136027803e-08,14701.219938718044,13.0,640.0,20.0,43.90575505796738,14.592410477338312,194.84133413590857
9,2.573270022707933e-08,14701.834557518006,13.0,640.0,20.0,43.90483731051026,14.19349039572985,69.56684738440427
10,2.573270220964521e-08,14703.644942369463,13.0,640.0,20.0,43.902134382158096,10.036949469272965,162.48305087935347
11,2.5732707340210405e-08,14701.964627974863,13.0,640.0,20.0,43.904643096964904,15.6139195013007,214.347049252493
12,2.5732714088843004e-08,14701.84750866004,13.0,640.0,20.0,43.90481797251286,19.86609424151603,51.77615939176363
13,2.573271413203771e-08,14702.04388643454,13.0,640.0,20.0,43.90452475416504,18.863140933330378,238.76620137333006
14,2.5732715977400613e-08,14702.275979448268,13.0,640.0,20.0,43.90417821575099,9.295952865915673,238.3849419124077
15,2.5778320412102775e-08,8793.550848180526,13.0,640.0,15.4626192307699,43.89035207417447,9.23436480153202,230.33966444995667
16,2.580444009712597e-08,5383.566434270905,13.0,640.0,12.099069947158549,43.891971713697274,7.236839962600908,244.81133852733376
17,2.5804894677784374e-08,5322.3317758235635,13.0,640.0,12.033253775655663,43.903611203877226,7.764459531529461,101.54584594213571
18,2.5812349403494784e-08,4356.201421013203,13.0,640.0,10.883648737121257,43.892334648616156,6.410617195083276,239.97611390074425
19,2.583309686525e-08,1544.8505889164153,13.0,640.0,6.482636023098144,43.90121458222792,4.020655022680636,137.22522981002794
20,2.583329456064048e-08,153.61282487143907,13.0,640.0,2.045050133732034,43.91959803727592,1.8823325305864604,34.55151965760654
21,2.5834961556620518e-08,214.09395865231627,13.0,640.0,2.4145526586333146,43.9240735263866,15.042445925078981,25.47822743664826
22,2.583786990917921e-08,863.0073745093136,13.0,640.0,4.845816137362711,43.90639865272415,2.880022904437497,164.5805462615117
23,2.5838113973784737e-08,696.8671845249362,13.0,640.0,4.3529519237041665,43.891154428423796,2.837732983991106,101.69712493325652
24,2.5838890260577267e-08,264.8978373964877,13.0,640.0,2.685737754523276,43.92305435998716,1.6060221638064882,256.4989091543805
