,nonuniformity,center_field_gauss,n_rods,cyl_height,cyl_diameter,D,g_cyl_diameter,g_D
0,3.9623969117233256e-08,10070.036387677126,11.0,640.0,20.0,48.798486249090885,5.252134323441219,298.79442105132745
1,3.9623990814081845e-08,10069.436912858258,11.0,640.0,20.0,48.79993877813697,18.537715371471783,71.9399492631099
2,3.9623994620852376e-08,10067.991081856233,11.0,640.0,20.0,48.80344256413863,17.206079774428165,182.73416799742736
3,3.9624004815928825e-08,10069.16896239697,11.0,640.0,20.0,48.80058806474775,10.348961351538998,90.10059997053463
4,3.962400810991153e-08,10070.318420448335,11.0,640.0,20.0,48.79780292781777,5.3401211234208565,23.146019291116378
5,3.962400822840633e-08,10068.38676567702,11.0,640.0,20.0,48.80248360014083,16.142554796056075,61.585547909547905
6,3.962401693059885e-08,10068.701982436472,11.0,640.0,20.0,48.80171969345166,17.637213699170413,215.67334692863582
7,3.9624036330959095e-08,10069.230612183444,11.0,640.0,20.0,48.80043867521047,11.546854466800594,115.07543118925382
8,3.9624038477117814e-08,10068.535622203879,11.0,640.0,20.0,48.80212285185655,19.67649310768445,279.78654237693945
9,3.9624042348120607e-08,10071.521945373805,11.0,640.0,20.0,48.79488729781137,13.380618646385633,279.32658661143256
10,3.9624043281682615e-08,10067.739059365656,11.0,640.0,19.999388950811927,48.8025623388418,5.204669565431593,296.7972224833605
11,3.962404925322918e-08,10069.616629847462,11.0,640.0,20.0,48.79950330979483,10.114392737477228,212.66398406715413
12,3.962405284717593e-08,10067.362706981981,11.0,640.0,20.0,48.80496558535151,8.361586320428444,199.36697217922705
13,3.962405321240398e-08,10066.877640440818,11.0,640.0,20.0,48.8061413610551,18.406730704828394,207.11200288946563
14,3.9624054729882046e-08,10070.35311737377,11.0,640.0,20.0,48.79771886458215,11.033281893653704,37.23046166027049
15,3.962405653954626e-08,10067.92694347053,11.0,640.0,20.0,48.80359801277676,11.888417753352226,219.77754507944945
16,3.9706452175516433e-08,5180.770502764723,11.0,640.0,14.343741311710755,48.79295711363774,8.652131856771867,226.90830591393146
17,3.9748124150877386e-08,25.220441512310853,11.0,640.0,1.0,48.75459297144033,12.835791609108753,22.07167376390427
18,3.976754615097743e-08,50.93168199526792,11.0,640.0,1.4248567456346308,48.884259648985584,1.0709434141185412,111.33781556212536
19,3.977572192222161e-08,79.77461358560541,11.0,640.0,1.7805687303034032,48.81106153402099,1.1945878448551266,267.31079154732043
20,3.9780280106233224e-08,88.72338844800672,11.0,640.0,1.8760524558066212,48.76607393000549,1.4167351941787134,221.57464137006
21,3.978463041748378e-08,397.97313731173,11.0,640.0,3.9747751704418324,48.78401720853972,2.353465888187838,200.72063767059987
22,3.9784750601909006e-08,312.5612162554572,11.0,640.0,3.5232225015215786,48.793772395190594,2.095171696571433,254.45541722600865
23,3.978515181357596e-08,186.99502444846195,11.0,640.0,2.7253455676895304,48.79759524076817,3.329458901454466,32.99678176074887
24,3.978544055966379e-08,376.03411808846425,11.0,640.0,3.863073404598667,48.77656448790895,2.4181082359252866,144.28419394182725
