,nonuniformity,center_field_gauss,n_rods,cyl_height,stage2_cyl_diameter,stage2_D,stage1_cyl_diameter,stage1_D,objective
0,4.0474606926713234e-08,9675.328791889728,11.0,640.0,20.0,49.78388430766455,20.0,48.80212285185655,0.0003912003836691808
1,4.048289335418402e-08,9673.329928031211,11.0,640.0,20.0,49.78902748907349,20.0,48.80248360014083,0.00039119955492278227
2,4.048451778294942e-08,9672.926701260467,11.0,640.0,20.0,49.79006520589557,20.0,48.80058806474775,0.00039119892787251617
3,4.0486527385753894e-08,9672.460738844233,11.0,640.0,20.0,49.791264455704166,20.0,48.79950330979483,0.0003911994813169888
4,4.048722009802329e-08,9672.295881593913,11.0,640.0,20.0,49.791688770388426,20.0,48.79780292781777,0.00039119950001031674
5,4.048778348393846e-08,9672.15695377043,11.0,640.0,20.0,49.79204635553441,20.0,48.798486249090885,0.0003911993187320876
6,4.048797203681137e-08,9672.114979011929,11.0,640.0,20.0,49.79215439552568,20.0,48.8061413610551,0.00039119944108669127
7,4.0489571924970897e-08,9671.722420192982,11.0,640.0,20.0,49.79316484755722,20.0,48.79488729781137,0.00039119900485150766
8,4.049106726864557e-08,9671.37966994214,11.0,640.0,20.0,49.79404714193022,20.0,48.80171969345166,0.00039119957412355193
9,4.049146728893973e-08,9671.275627732502,11.0,640.0,20.0,49.79431497261812,20.0,48.79993877813697,0.00039119922604976127
10,4.0492265021381115e-08,9671.08733253835,11.0,640.0,20.0,49.794799702568376,20.0,48.80344256413863,0.00039119930866385083
11,4.0493463146613286e-08,9670.808766127797,11.0,640.0,20.0,49.795516844457275,20.0,48.80359801277676,0.0003911996037376745
12,4.049397010233427e-08,9670.688813834911,11.0,640.0,20.0,49.79582565940774,20.0,48.80043867521047,0.000391199643995386
13,4.049489613157125e-08,9670.469256980243,11.0,640.0,20.0,49.79639091933562,20.0,48.80496558535151,0.0003911996991436522
14,4.0498037275831626e-08,9669.722350172256,11.0,640.0,20.0,49.79831401180747,20.0,48.79771886458215,0.0003911997958114599
15,4.064754455993022e-08,8225.926747897884,11.0,640.0,18.47315993658895,49.87011839000397,19.999388950811927,48.8025623388418,0.0003339572485863018
16,4.4605393594949825e-08,22.69792660723087,11.0,640.0,1.0,51.392311342163524,1.0,48.75459297144033,5.663960141553188e-07
17,2.2190680379740987e-07,9.999999999966041,11.0,640.0,1.0,77.42435023759117,1.4248567456346308,48.884259648985584,7.535647427294884e-18
18,2.2191582814174326e-07,10.000000000000412,11.0,640.0,1.0,77.42435023816007,1.7805687303034032,48.81106153402099,9.145479418905544e-20
19,2.2192486533475127e-07,10.00000000002636,11.0,640.0,1.0,77.42435023876504,3.974775170441832,48.78401720853972,5.849797227423846e-18
20,2.2193091719239665e-07,9.999999999986462,11.0,640.0,1.0,77.42435023940114,1.8760524558066207,48.76607393000549,3.0044154185362523e-18
21,2.2194426740354037e-07,9.999999999964773,11.0,640.0,1.0,77.42435024052055,3.5232225015215786,48.793772395190594,7.818415722623956e-18
22,2.2195244913008413e-07,10.00000000000255,11.0,640.0,1.0,77.4243502410028,2.7253455676895304,48.79759524076817,5.661670544846245e-19
23,2.219524910404391e-07,10.000000000037828,11.0,640.0,1.0,77.42435024086937,14.343741311710756,48.79295711363774,8.395912048630818e-18
24,2.2195305857253797e-07,10.000000000038519,11.0,640.0,1.0,77.42435024086623,3.863073404598667,48.77656448790895,8.54930370424063e-18
