,nonuniformity,center_field_gauss,r_1_innerrad,r_1_width,r_1_thickness,r_1_dist,g_1_innerrad,g_1_width,g_1_thickness,g_1_dist
0,8.362245536749678e-07,10.09731252742208,149.99999898048117,16.20075838439391,8.876742489492248,267.5122504625704,136.9679523888706,11.488757426857058,7.240965842315082,291.3068044466757
1,9.291244904387249e-07,9.948321738674633,149.99998985039844,7.956250352052599,16.917563683832256,260.9597355621638,149.48379600920876,10.345368747843786,16.499600490683285,224.95690906842623
2,9.293194409175022e-07,10.099981131752891,149.9999485303053,7.936917203093172,17.216276624608625,260.9569526786367,113.94005298288903,5.647299829812264,12.3061203961714,210.48489629738305
3,9.399705468223227e-07,10.099997731850259,149.99999211532037,7.038522259657338,19.310594490775728,260.30763016207476,93.51566532649215,7.964926317583301,19.771047442388138,256.8099677982198
4,9.429694832536229e-07,10.099994848226928,150.0,6.785949810881656,20.0,260.13213006974627,82.09516460012318,2.376873245344688,16.77699793222118,298.5178952813877
5,1.3492773769983575e-06,9.900000000005136,132.55389020529594,15.57137548180744,7.132044691500963,237.36308146008025,109.43813371479732,15.001092423338847,4.084653316877105,263.46014314081117
6,1.3959572486039476e-06,10.099998490692208,133.36404788398062,11.473119477195434,9.706521704957552,235.43271815618198,93.99952725814444,10.9268136255228,14.413144654863633,267.67067312838446
7,1.5150027128666136e-06,9.900000208560407,132.38976776197381,7.7730475451266265,13.489552248554562,230.841640810534,61.941343971245246,8.098496995689212,13.133859897610874,286.1221819386668
8,1.6499391383985643e-06,9.900000021272826,123.59470159772113,19.588936071520425,5.119060671775436,225.40174429970705,83.4133810479879,17.114621939354464,11.136117133589828,160.97417896491407
9,1.6735575214541466e-06,9.900000000120706,130.01581713260538,5.7853367729418865,17.257623760210723,225.33786692158338,134.47192783689772,5.487345832525701,16.98096050091484,211.92729386318842
10,1.8194431426039577e-06,9.900000040130728,127.74564958161815,4.791058029822495,19.999996470279143,220.8217931187894,86.29810786609329,3.5782425652132295,17.34348940503802,140.443724940847
11,1.9444727419033864e-06,9.900000000002063,124.75793609195253,6.547686758279207,14.138220968943855,216.92216677342628,110.6338524008617,3.218791348432085,10.4584873068839,271.2981983108266
12,1.9882143766364135e-06,9.900000000351827,118.27204947699894,18.096257256496518,5.04822827188993,215.15237700787623,100.96036584675157,17.86133419473363,4.430203789207176,254.92845405694817
13,3.736572242188344e-06,9.900000000002054,101.21226332428334,15.083569051608393,4.4169527790902166,183.72303029609103,55.30652104175718,16.299639645642365,4.564488958855156,182.23074625079863
14,4.352584295951421e-06,9.900000000125324,102.1382669353768,5.093881250616755,12.144384760763968,177.3073239779864,78.28037723050645,3.52105767421551,14.019213146694023,288.7176063719072
15,4.632699996710528e-06,9.900000000002063,100.07706897658157,6.0020143027821335,9.98587554046165,174.48049642919773,71.23983531866836,2.8332607832404957,7.588322858404361,202.42046017874512
16,5.449046671259597e-06,10.099999969423052,96.96978072199828,3.9734094060157203,14.20509348455616,167.72539847433126,77.45464926075854,3.1493452509843847,16.597796566395342,252.4370395411913
17,5.5614024151657675e-06,9.9000000000036,91.71186759794816,13.519368277268324,4.038639117989846,166.3061957601061,94.18502421053572,13.034473738644703,4.130986811756746,129.43274228416027
18,5.588109710971546e-06,9.900000000076012,94.82464599230164,7.081439594871637,7.701692244189493,166.3889216793485,139.96098254422316,6.122916154229648,6.15085654100342,223.07716107654596
19,1.0321808473286133e-05,9.900000010955615,74.3396629674183,19.982417376456414,2.0,141.9052811717355,31.374828363430236,18.457037837302124,10.509490803008244,69.48218568344568
20,1.141191273180714e-05,10.099999290354233,149.9995735482018,4.6928395941002945,8.418233884387456,54.98893886364422,114.620721069307,7.66107895603241,17.794409679493562,39.359648052332595
21,1.1606034808961925e-05,9.900000666565338,77.56440757193783,8.782262092649297,4.30380916968555,138.40291298381584,61.74040883354848,7.213139422281067,4.037742974512013,218.63794178519748
22,1.2753907459144711e-05,9.900000000001263,144.149131170595,8.575929930840797,4.276786900662264,53.475323968189585,133.9596062735452,5.852382239304817,4.446815595311337,54.18071425776384
23,1.3035880532420259e-05,9.900000000006681,74.78180430417973,9.659313248476954,3.6909696375210856,134.37955742078427,65.60526731321058,7.586029790546448,2.3625060175833363,183.13236103766062
24,1.4562362742037886e-05,9.90000000000208,76.2043630217704,2.3854611170891515,14.196222507204034,131.2500296388229,62.26634146852701,3.0674575858677646,17.970909868077403,123.370431361164
25,0.0002861519230395493,10.099998851082734,150.0,20.0,8.530961698756956,300.0,148.84739271614228,13.57435453752429,18.776834917723264,256.60502607435683
26,0.0010396705907071832,9.900000000000517,105.74961488619743,19.99988436528365,7.358249989728753,286.74155656807227,46.86792710445303,15.528453557267458,9.79611381855345,154.45767832785572
27,0.0017772574355270257,9.900000000000514,57.76186892745861,20.0,10.538775304865794,300.0,10.446291273984912,16.582550984586057,4.952029258322326,297.6596318614159
28,0.002024555790969316,9.900000000000515,36.79519802850771,18.93582883823235,15.046940703163752,300.0,10.124441617685415,19.677205700551944,18.20488759583567,293.3077603570984
29,0.002288908832506004,9.900000000000515,53.36565016128822,15.493305046361012,10.174413199043535,262.3375272656449,35.47656541598349,16.782202934027467,7.913473081856737,287.4638182907318
30,0.002839837708694388,9.900000000000517,54.92327326310256,19.957868037214233,4.461170455812327,213.08297307361974,47.87784309130784,18.868703815506443,5.183876755043795,248.32457299643613
31,0.003978814032085257,9.900000000000514,18.67475665001255,19.995642256158057,8.496413314106439,216.3385869749157,24.2687222821117,12.90625210512167,18.058661580796237,128.26720204784556
32,0.004290057050241048,9.899999945040108,46.71868858286748,2.6816897438393985,4.176976074970649,70.47538244591205,56.23326202076583,2.8802235159606338,6.072522205016207,42.5205759051802
33,0.00442318556577466,9.899999999998954,69.74846303660945,7.757202198022533,3.1772944853013034,96.7628566939114,75.67882753129066,7.303265195686458,3.0862848397116354,95.58056883558756
34,0.004455977846545086,9.899999993247182,99.73290597601348,11.085788956964688,4.526071484309893,121.83946078678628,105.59352675083446,19.677391611985996,15.885461022034114,81.60957985134165
35,0.004458985825842357,10.100000000000275,6.411596199484361,10.46874260740559,17.200764663073183,164.7234583550956,5.704445452237971,8.862407953894262,15.961713076383337,257.2198245878352
36,0.0044670277748807595,10.100000000000279,7.144815025323545,11.840270029204643,13.060852292109619,162.28235640487532,7.021785100846241,12.19041746239362,13.335984314410206,154.1721127565034
37,0.004483503240768688,9.899999978652687,119.16840755236443,8.103204152515003,2.0,23.302501533887046,51.14612673978563,18.40682465721121,17.066925940089536,12.274521476102928
38,0.004500281732306858,10.100000000001046,147.86734811364195,9.83440170499583,7.629800217029476,76.1934498972986,136.7566415612555,9.43348377505713,7.435680089451175,88.87750493542977
39,0.004559312795669941,10.100000000000275,17.603568915334385,6.686461120687059,12.210685642059186,151.73139996794018,3.8294245622076,5.126358830746268,6.096118333418767,66.11183940923523
40,0.004580493927713467,10.100000000000279,17.308616485574905,18.485187276039692,3.184310082474113,144.5392523279204,15.70723183105282,15.41783942788827,3.003892920641545,209.9116154010178
41,0.0046415819092540415,10.100000000000193,101.15402990146286,2.3550673691722235,10.615827363141936,45.37842218166075,18.056376834462288,11.453897153352296,19.88977937002955,11.820172781508159
42,0.004713317581494421,10.100000000000279,14.2229833696777,19.999972927506747,3.0033297139563144,141.6316053610562,8.975085033345184,7.569317261900304,4.59656564459495,153.31833760217185
43,0.0047726859748333265,10.100000000000264,97.50870319621069,3.403742050387785,6.867726076912901,43.856453425680456,66.5317046388541,15.101061400963859,16.145555118014496,43.53520657205759
44,0.004809331192088487,10.100000000000279,13.755997557365795,5.987301439010525,15.018297416886263,146.4032050537938,6.695433210268789,6.246301416927418,11.767646699986827,119.7704150855142
45,0.004854350434185364,10.100000000000279,1.7572283159157118,19.993763014637096,6.310731319299468,145.79760838962326,4.75046591488789,7.929798866445276,2.9217371126946343,293.26551264736094
46,0.004892204444346448,10.100000000001819,2.0102434366225213,10.576578191691432,19.614114599565845,148.27824739084053,4.36301989869253,4.06068335346227,9.175804115242629,38.135576287442284
47,0.005205720605848283,10.100000000000335,56.22292903922077,2.010306787201274,2.978605619924591,21.77097354910422,27.14425699951334,7.079121490277535,14.998818924100535,15.080075668925014
48,0.0055066171198147485,10.100000000000275,13.562539678591568,6.044831985395601,11.707006055200722,134.3641370386656,14.482699903886434,4.84566748401851,16.240197136200344,99.8566196875179
49,0.00550874557125909,10.100000000001046,137.25693647053382,15.211959724120966,5.306432667623717,76.23996137589957,146.9199332319149,14.863070222723158,12.06105083580969,77.9182531168816
